id,Category,Function Name,Description,Input,Output,User
FUN-001,ユーザー管理,顧客プロフィール登録,顧客が自身のニーズ（業種・地域・予算など）を含むプロフィールを登録・編集できる機能,顧客の個人情報 ニーズ情報,登録完了メッセージ 登録済みプロフィール情報,地域住民（顧客）
FUN-002,ユーザー管理,事業者プロフィール登録,事業者が提供するサービスの詳細や対応可能地域などの情報を含むプロフィールを登録・編集できる機能,事業者情報 サービス詳細 対応地域,登録完了メッセージ 登録済みプロフィール情報,地域密着型サービスを提供する事業者
FUN-003,マッチング,自動マッチング処理,顧客のニーズと事業者の提供サービスを自動的に照合し最適な組み合わせを提案する機能,顧客ニーズ情報 事業者サービス情報,マッチング結果リスト,システム
FUN-004,マッチング,マッチング結果表示,自動マッチング処理の結果を顧客に表示する機能,マッチング結果リスト,マッチング結果画面,地域住民（顧客）
FUN-005,コミュニケーション,メッセージ送受信,マッチングした顧客と事業者がシステム内でメッセージを送受信できる機能,メッセージ内容 送信者情報 受信者情報,送信完了通知 受信メッセージ,地域住民（顧客） 地域密着型サービスを提供する事業者
FUN-006,決済,オンライン決済処理,サービス利用に対する支払いをシステム内で完結できる決済機能,支払い金額 支払い方法 顧客情報,決済完了通知 領収書データ,地域住民（顧客）
FUN-007,フィードバック,レビュー・評価登録,サービス利用後に顧客が事業者に対してレビューや評価を行える機能,レビュー内容 評価点数 顧客情報 事業者情報,レビュー・評価登録完了通知,地域住民（顧客）
FUN-008,フィードバック,レビュー・評価表示,登録されたレビューと評価を表示する機能,事業者情報,レビュー・評価一覧,地域住民（顧客） 地域密着型サービスを提供する事業者
FUN-009,個人設定,お気に入り登録,顧客が気に入った事業者をお気に入りとして登録できる機能,顧客情報 事業者情報,お気に入り登録完了通知,地域住民（顧客）
FUN-010,個人設定,お気に入り一覧表示,登録したお気に入り事業者の一覧を表示する機能,顧客情報,お気に入り事業者一覧,地域住民（顧客）
FUN-011,レコメンデーション,サービス推奨,顧客の過去の利用履歴やpreferencesに基づいて適切なサービスや事業者を推奨する機能,顧客情報 利用履歴 preferences,推奨サービス・事業者リスト,システム
FUN-012,分析・レポーティング,利用状況分析,システムの利用状況や成約率などを分析しレポートを生成する機能,システム利用データ 成約データ,分析レポート,顧客企業
FUN-013,サポート,問い合わせ受付,ユーザーからの問い合わせやサポートリクエストを受け付ける機能,問い合わせ内容 ユーザー情報,問い合わせ受付完了通知 問い合わせ管理番号,地域住民（顧客） 地域密着型サービスを提供する事業者
FUN-014,サポート,問い合わせ対応,受け付けた問い合わせに対して回答を行う機能,問い合わせ内容 回答内容,回答送信完了通知,顧客企業