id,Category,Screen Name,Description,Component,Operating Process,User,Access Right,File Name
SCR-001,認証,登録画面,新規ユーザーがシステムに登録するための画面,登録フォーム（氏名 メールアドレス パスワード ユーザータイプ選択）,ユーザーは必要な情報を入力し 「登録」ボタンをクリックする 入力内容が検証され 問題がなければユーザーアカウントが作成される,未登録ユーザー,guest,Register.tsx
SCR-002,認証,ログイン画面,既存ユーザーがシステムにログインするための画面,ログインフォーム（メールアドレス パスワード）,ユーザーは登録済みのメールアドレスとパスワードを入力し 「ログイン」ボタンをクリックする 認証に成功するとホーム画面に遷移する,登録済みユーザー,guest,Login.tsx
SCR-003,メイン,ホーム画面,ログイン後のメインページ ユーザーの概要情報や主要機能へのリンクを表示,ユーザー情報サマリー 機能ナビゲーションメニュー 最近のアクティビティ,ユーザーは表示された情報を確認し 必要な機能へのリンクをクリックして各画面に遷移する,地域住民（顧客）・地域密着型サービスを提供する事業者,loged-in user,Home.tsx
SCR-004,マッチング,ニーズ入力画面,顧客が自身のニーズを入力するための画面,ニーズ入力フォーム（業種 地域 予算 その他の要件）,顧客はフォームに必要な情報を入力し 「検索」ボタンをクリックする 入力されたニーズに基づいてマッチング処理が実行される,地域住民（顧客）,loged-in user,NeedsInput.tsx
SCR-005,マッチング,マッチング結果画面,顧客のニーズに合致する事業者の一覧を表示する画面,マッチングした事業者リスト 各事業者の簡易情報,顧客はリストを確認し 興味のある事業者の詳細情報を見るためにリンクをクリックする,地域住民（顧客）,loged-in user,MatchingResults.tsx
SCR-006,事業者情報,事業者詳細画面,選択した事業者の詳細情報を表示する画面,事業者プロフィール 提供サービス一覧 レビュー・評価 問い合わせボタン,顧客は事業者の詳細情報を確認し 必要に応じて「問い合わせ」や「お気に入り登録」ボタンをクリックする,地域住民（顧客）,loged-in user,BusinessDetail.tsx
SCR-007,コミュニケーション,メッセージ画面,顧客と事業者がメッセージをやり取りする画面,メッセージリスト 送信フォーム,ユーザーは過去のメッセージを確認し 新しいメッセージを入力して送信する 添付ファイルの送信も可能,地域住民（顧客）・地域密着型サービスを提供する事業者,loged-in user,MessageScreen.tsx
SCR-008,予約,サービス予約画面,顧客がサービスの予約を行う画面,サービス選択フォーム 日時選択カレンダー オプション選択,顧客は希望するサービスと日時を選択し オプションがあれば追加する 「予約確認」ボタンをクリックして次の画面に進む,地域住民（顧客）,loged-in user,ServiceReservation.tsx
SCR-009,決済,決済画面,サービスの料金を支払うための画面,料金内訳 支払い方法選択 クレジットカード情報入力フォーム,顧客は料金を確認し 支払い方法を選択する クレジットカード支払いの場合は必要な情報を入力し 「支払い」ボタンをクリックして決済を完了する,地域住民（顧客）,loged-in user,Payment.tsx
SCR-010,サービス完了,サービス利用完了画面,サービス利用後の完了確認と次のアクションを案内する画面,完了メッセージ レビュー投稿リンク 関連サービス推奨,顧客はサービス完了の確認を行い レビューを投稿する場合は該当リンクをクリックする また 推奨された関連サービスがあればそちらも確認できる,地域住民（顧客）,loged-in user,ServiceCompletion.tsx
SCR-011,フィードバック,レビュー投稿画面,利用したサービスに対してレビューを投稿する画面,評価星選択 コメント入力フォーム 写真アップロード,顧客は星評価を選択し コメントを入力する 必要に応じて写真をアップロードし 「投稿」ボタンをクリックしてレビューを送信する,地域住民（顧客）,loged-in user,ReviewSubmission.tsx
SCR-012,お気に入り,お気に入り一覧画面,ユーザーがお気に入り登録した事業者の一覧を表示する画面,お気に入り事業者リスト 各事業者への簡易リンク,顧客はお気に入りリストを確認し 必要に応じて各事業者の詳細画面に遷移したり お気に入りから削除したりする,地域住民（顧客）,loged-in user,FavoritesList.tsx
SCR-013,履歴,利用履歴画面,ユーザーのサービス利用履歴を表示する画面,利用サービス一覧 日付別フィルター 詳細リンク,ユーザーは過去に利用したサービスの履歴を確認し 必要に応じて詳細を見たり 再予約したりすることができる,地域住民（顧客）・地域密着型サービスを提供する事業者,loged-in user,UsageHistory.tsx
SCR-014,設定,プロフィール編集画面,ユーザーが自身のプロフィール情報を編集する画面,プロフィール情報編集フォーム,ユーザーは現在のプロフィール情報を確認し 必要な箇所を編集する 「更新」ボタンをクリックして変更を保存する,地域住民（顧客）・地域密着型サービスを提供する事業者,loged-in user,ProfileEdit.tsx
SCR-015,サポート,FAQ画面,よくある質問と回答を表示する画面,質問カテゴリ一覧 質問と回答のリスト 検索バー,ユーザーは質問カテゴリを選択するか 検索バーを使用して特定の質問を探す 該当する質問をクリックすると回答が表示される,地域住民（顧客）・地域密着型サービスを提供する事業者,loged-in user,FAQ.tsx
SCR-016,サポート,問い合わせ画面,ユーザーがサポートに問い合わせを送信する画面,問い合わせフォーム（カテゴリ選択 タイトル 内容）,ユーザーは問い合わせカテゴリを選択し タイトルと内容を入力する 「送信」ボタンをクリックして問い合わせを提出する,地域住民（顧客）・地域密着型サービスを提供する事業者,loged-in user,Contact.tsx
SCR-017,レコメンデーション,推奨サービス画面,ユーザーの過去の利用履歴や好みに基づいて推奨されるサービスを表示する画面,推奨サービスリスト 各サービスの簡易情報,ユーザーは推奨されたサービスのリストを確認し 興味のあるサービスの詳細を見るためにクリックする,地域住民（顧客）,loged-in user,RecommendedServices.tsx
SCR-018,お気に入り,お気に入り登録確認画面,ユーザーが事業者をお気に入りに登録する際の確認画面,事業者情報サマリー 登録確認メッセージ 確認ボタン,ユーザーはお気に入りに登録しようとしている事業者の情報を確認し 「登録する」ボタンをクリックして確定する,地域住民（顧客）,loged-in user,FavoriteConfirmation.tsx
SCR-019,管理,管理画面,システム管理者がシステム全体の管理を行うためのダッシュボード画面,ユーザー管理 取引管理 売上レポート リンク集,管理者は各種管理機能へのリンクをクリックして必要な操作を行う システム全体の状況を把握し 必要に応じて設定を変更する,システム管理者,loged-in user,AdminDashboard.tsx
SCR-020,分析,利用状況分析画面,システムの利用状況や成約率などの分析結果を表示する画面,グラフ・チャート表示 データテーブル フィルター機能,管理者は各種データを確認し 必要に応じてフィルターを適用してデータを絞り込む 特定の期間や地域などの条件でレポートを生成する,システム管理者,loged-in user,UsageAnalysis.tsx
SCR-021,サポート,サポート対応画面,ユーザーからの問い合わせに対応するための画面,問い合わせ一覧 対応状況フィルター 返信フォーム,サポート担当者は未対応の問い合わせを確認し 適切な回答を作成して返信する 対応済みの問い合わせにはステータスを更新する,サポート担当者,loged-in user,SupportResponse.tsx